,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Inutilizzato
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Entrato
8,9,Entrato
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Entrato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Entrato
27,28,Inutilizzato
28,29,Titolare
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Entrato
35,36,Inutilizzato
36,37,Infortunato
37,38,Inutilizzato
