,Giornata,Status
0,1,Titolare
1,2,Squalificato
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Inutilizzato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Entrato
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Inutilizzato
25,26,Infortunato
26,27,Infortunato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Infortunato
31,32,Inutilizzato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Titolare
