,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Infortunato
4,5,Inutilizzato
5,6,Infortunato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Inutilizzato
12,13,Titolare
13,14,Inutilizzato
14,15,Titolare
15,16,Inutilizzato
16,17,Entrato
17,18,Inutilizzato
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Titolare
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Titolare
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
