,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Infortunato
3,4,Infortunato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Entrato
11,12,Inutilizzato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Entrato
19,20,Entrato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Titolare
24,25,Titolare
25,26,Infortunato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Entrato
30,31,Titolare
31,32,Entrato
32,33,Inutilizzato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
