,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Entrato
3,4,Inutilizzato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Entrato
8,9,Titolare
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Entrato
17,18,Entrato
18,19,Inutilizzato
19,20,Infortunato
20,21,Infortunato
21,22,Infortunato
22,23,Inutilizzato
23,24,Entrato
24,25,Entrato
25,26,Infortunato
26,27,Entrato
27,28,Titolare
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Squalificato
36,37,Titolare
37,38,Inutilizzato
