,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Infortunato
3,4,Infortunato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Entrato
12,13,Infortunato
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Inutilizzato
18,19,Infortunato
19,20,Inutilizzato
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Squalificato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Titolare
29,30,Infortunato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
