,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Entrato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Entrato
11,12,Entrato
12,13,Entrato
13,14,Infortunato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Titolare
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Infortunato
34,35,Entrato
35,36,Entrato
36,37,Inutilizzato
37,38,Entrato
