,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Inutilizzato
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Inutilizzato
33,34,Titolare
34,35,Entrato
35,36,Titolare
36,37,Titolare
37,38,Titolare
