,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Titolare
6,7,Entrato
7,8,Entrato
8,9,Inutilizzato
9,10,Titolare
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Entrato
19,20,Infortunato
20,21,Infortunato
21,22,Entrato
22,23,Entrato
23,24,Titolare
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Infortunato
28,29,Inutilizzato
29,30,Entrato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Entrato
36,37,Inutilizzato
37,38,Entrato
