,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Inutilizzato
4,5,Infortunato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Infortunato
12,13,Infortunato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Entrato
23,24,Inutilizzato
24,25,Titolare
25,26,Titolare
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Entrato
30,31,Entrato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Entrato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Entrato
