,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Entrato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Entrato
17,18,Entrato
18,19,Inutilizzato
19,20,Infortunato
20,21,Entrato
21,22,Titolare
22,23,Inutilizzato
23,24,Infortunato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
