,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Infortunato
13,14,Entrato
14,15,Inutilizzato
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Infortunato
24,25,Infortunato
25,26,Inutilizzato
26,27,Entrato
27,28,Titolare
28,29,Titolare
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Inutilizzato
33,34,Entrato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Titolare
