,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Entrato
17,18,Titolare
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Infortunato
26,27,Infortunato
27,28,Entrato
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Squalificato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Inutilizzato
37,38,Inutilizzato
