,Giornata,Status
0,1,Titolare
1,2,Squalificato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Entrato
12,13,Inutilizzato
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Squalificato
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Inutilizzato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Squalificato
25,26,Inutilizzato
26,27,Entrato
27,28,Titolare
28,29,Titolare
29,30,Inutilizzato
30,31,Infortunato
31,32,Entrato
32,33,Titolare
33,34,Squalificato
34,35,Titolare
35,36,Entrato
36,37,Inutilizzato
37,38,Entrato
