,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Entrato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Entrato
11,12,Inutilizzato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Entrato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Entrato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Entrato
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Entrato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Titolare
