,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Inutilizzato
15,16,Titolare
16,17,Entrato
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Entrato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Inutilizzato
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Inutilizzato
36,37,Entrato
37,38,Titolare
