,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Titolare
3,4,Entrato
4,5,Squalificato
5,6,Titolare
6,7,Entrato
7,8,Inutilizzato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Inutilizzato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Infortunato
24,25,Inutilizzato
25,26,Entrato
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Titolare
31,32,Inutilizzato
32,33,Entrato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
