,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Entrato
10,11,Inutilizzato
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Entrato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Entrato
30,31,Inutilizzato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
