,Giornata,Status
0,1,Titolare
1,2,Infortunato
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Infortunato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Entrato
29,30,Entrato
30,31,Titolare
31,32,Titolare
32,33,Entrato
33,34,Entrato
34,35,Inutilizzato
35,36,Entrato
36,37,Entrato
37,38,Titolare
