,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Titolare
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Entrato
6,7,Titolare
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Entrato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Inutilizzato
19,20,Titolare
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
