,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Infortunato
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Infortunato
22,23,Infortunato
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Entrato
32,33,Inutilizzato
33,34,Titolare
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Entrato
