,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Inutilizzato
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Entrato
9,10,Titolare
10,11,Entrato
11,12,Entrato
12,13,Inutilizzato
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Squalificato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
