,Id,Slot
0,22,Titolare
1,4312,SuperTop
2,5832,Titolare
3,133,Titolare
4,509,Titolare
5,2178,Titolare
6,4957,Titolare
7,761,Titolare
8,2211,Titolare
9,4964,Titolare
10,159,
11,2814,Scommessa
12,1843,
13,2134,
14,4,
15,41,
16,42,
17,160,
18,217,
19,218,
20,510,
21,543,
22,673,
23,799,
24,1889,
25,1930,
26,1947,
27,2127,
28,2170,Scommessa
29,2297,
30,2790,
31,2815,
32,2845,
33,4351,
34,4431,
35,4468,
36,4491,
37,4525,
38,4977,
39,5005,
40,5304,
41,5333,
42,5448,
43,5502,
44,5518,
45,5528,
46,5682,
47,5704,
48,5830,
49,5841,
50,5853,
51,5876,
52,5887,
53,5889,
54,5890,
55,5716,
56,5676,
57,215,Titolare
58,5311,
59,4938,
60,407,Scommessa
61,2832,Titolare
62,90,
63,4517,Titolare
64,5471,
65,2475,
66,537,
67,383,
68,643,
69,2489,Titolare
70,5336,Titolare
71,177,
72,2061,
73,2530,Scommessa
74,2409,
75,2097,
76,495,
77,472,Titolare
78,568,
79,5714,
80,5690,
81,2195,
82,315,
83,5494,
84,5512,
85,5874,
86,5785,
87,5505,
88,5391,
89,5378,
90,4500,
91,212,
92,5865,
93,5881,
94,5843,
95,5814,
96,5500,
97,1839,
98,5806,
99,5673,
100,5864,
101,5515,Titolare
102,4923,
103,5786,
104,186,
105,5854,Titolare
106,5460,Titolare
107,4359,
108,5842,Scommessa
109,2103,
110,1943,
111,5836,Titolare
112,5882,
113,2842,
114,5728,
115,5837,
116,453,Top
117,250,Top
118,4270,Top
119,2792,SemiTop
120,572,SemiTop
121,610,SemiTop
122,316,SemiTop
123,2531,SuperTop
124,2841,SuperTop
125,785,SuperTop
126,2382,Titolare Bonus
127,2719,Titolare Bonus
128,505,Titolare Bonus
129,647,Jolly
130,2038,Jolly
131,5845,Underdog
132,2466,Jolly
133,2438,Titolare Bonus
134,479,Underdog
135,5694,Titolare Bonus
136,507,Jolly
137,5529,Titolare Bonus
138,4661,Top
139,4200,Jolly
140,4371,SemiTop
141,608,Top
142,4179,Titolare Bonus
143,4268,SemiTop
144,2819,SemiTop
145,309,SemiTop
146,1958,Titolare Bonus
147,2544,Top
148,2119,SemiTop
149,4510,SemiTop
150,2764,Top
151,531,SemiTop
152,645,SuperTop
153,530,Top
154,2002,Top
155,303,SemiTop
156,2172,Top
157,4427,SemiTop
158,335,SemiTop
159,2766,Overdog
160,302,Overdog
161,5451,SemiTop
162,5839,SemiTop
163,2529,Overdog
164,2848,Titolare Bonus
165,536,Jolly
166,697,Titolare Bonus
167,2167,Jolly
168,5685,Underdog
169,5788,Underdog
170,4658,Underdog
171,4890,Underdog
172,376,Jolly
173,2009,Titolare Bonus
174,4486,Underdog
175,4978,Non settato
176,5792,Jolly
177,1978,Non settato
178,2625,Titolare Bonus
179,4479,Underdog
180,2432,Titolare
181,4992,Titolare Bonus
182,5834,Non settato
183,5844,Underdog
184,801,Non settato
185,4376,Jolly
186,4393,Titolare
187,5001,Underdog
188,5719,Non settato
189,600,Non settato
190,1901,Non settato
191,2144,Scommessa
192,2528,Non settato
193,5063,Non settato
194,5422,Non settato
195,5798,Non settato
196,5829,Non settato
197,5875,Non settato
198,4178,Non settato
199,5850,Scommessa
200,5870,Non settato
201,2008,Non settato
202,2274,Non settato
203,4285,Non settato
204,5858,Scommessa
205,5886,Non settato
206,666,Non settato
207,694,Non settato
208,1851,Non settato
209,2825,Non settato
210,2855,Non settato
211,4364,Non settato
212,4475,Non settato
213,4725,Non settato
214,4884,Non settato
215,5784,Scommessa
216,5857,Non settato
217,5863,Non settato
218,5878,Non settato
219,557,Non settato
220,1976,Non settato
221,2161,Non settato
222,2334,Non settato
223,4465,Non settato
224,4921,Non settato
225,5499,Non settato
226,5517,Non settato
227,5880,Non settato
228,58,Non settato
229,2639,Non settato
230,2742,Non settato
231,4411,Non settato
232,4501,Non settato
233,4896,Ultimi slot
234,5444,Non settato
235,5476,Non settato
236,5510,Non settato
237,5776,Scommessa
238,5813,Non settato
239,5869,Non settato
240,5884,Titolare
241,21,Non settato
242,173,Non settato
243,2804,Non settato
244,2835,Non settato
245,4987,Non settato
246,5312,Non settato
247,5420,Non settato
248,5423,Non settato
249,5468,Non settato
250,5519,Non settato
251,5722,Non settato
252,5735,Non settato
253,5789,Non settato
254,5823,Non settato
255,5855,Non settato
256,5868,Non settato
257,5872,Non settato
258,5873,Non settato
259,5879,Non settato
260,5888,Non settato
261,5992,Non settato
262,4292,SuperTop
263,286,Titolare
264,5355,Underdog
